Brackish	MatterWater
water	MatterWater
is	O
water	MatterWater
that	O
has	O
more	O
salinity	MatterWater
than	O
fresh	MatterWater 
water	MatterWater
but	O
not	O
as	O
much	O
as	O
seawater	MatterWater
.	O
It	O
may	O
result	O
from	O
mixing	O
of	O
seawater	MatterWater
with	O
fresh	MatterWater
water	MatterWater
as	O
in	O
estuaries	O
or	O
it	O
may	O
occur	O
in	O	
brackish	MatterWater
fossil	O
aquifers	O
.	O
Depth	MatterWater
hoares	MatterWater
are	O
large	O
crystals	MatterWater
occurring	O
at	O
the	O	
base	O
of	O
a	O
snowpack	MatterWater
that	O
form	O
due	O
to	O
the	O
fact	O
that	O
a	O
snow	MatterWater
crystal	MatterWater
can	O
grow	O
over	O
time	O
as	O
moisture	MatterWater
freezes	O
onto	O
the	O
crystal	MatterWater
from	O
vapor	MatterWater
that	O
is	O
rising	O
in	O
the	O
snowpack	MatterWater
.	O
Firn	MatterWater
is	O
partially-compacted	O
névé	MatterWater
,	O
a	O
type	O
of	O
snow	MatterWater
that	O
has	O
been	O
left	O
over	O
from	O
past	O
seasons	O
and	O
has	O
been	O
recrystallized	O
into	O
a	O
substance	MatterWater
denser	O
than	O
névé	MatterWater
.	O
It	O
is	O
ice	MatterWater
that	O
is	O
at	O
an	O
intermediate	O
stage	O
between	O
snow	MatterWater
and	O
glacial	MatterWater
ice	MatterWater
.	O
Firn	MatterWater
has	O	
the	O
appearance	O
of	O
wet	O
sugar	O
,	O
but	O
has	O
a	O
hardness	O
that	O
makes	O
it	O
extremely	O
resistant	O
to	O
shovelling	O
.	O
It	O
generally	O
has	O
a	O
density	O
greater	O
than	O
550	O
kg/m³	O
and	O
is	O
often	O
found	O
underneath	O
the	O
snow	MatterWater
that	O
accumulates	O
at	O
the	O
head	O
of	O
a	O
glacier	MatterWater
.	O
Rime	MatterWater
is	O
a	O
white	O
or	O
milky	O
and	O
opaque	O
granular	O
deposit	O
of	O
ice	MatterWater
formed	O
by	O
the	O
rapid	O
freezing	O
of	O
supercooled	O
water	MatterWater
drops	O
as	O
they	O
impinge	O
upon	O
an	O
exposed	O
object	O
.	O
Liquid	MatterWater
steam	MatterWater
dew	MatterWater
vapor	MatterWater
drop	MatterWater
drizzle	MatterWater
groundwater	MatterWater
rain	MatterWater
hydrate	MatterWater
brine	MatterWater
saline	MatterWater
salt	MatterWater
sea	MatterWater
effluent	MatterWater
waste	MatterWater
wastewater	MatterWater
sewage	MatterWater
frost	MatterWater
SnowFacies	MatterWater
SnowGrain	MatterWater
Calcite	Mineral
Evaporite	Mineral
Feldspar	Mineral
In	O
the	O
scientific	O
sense	O
the	O
term	O
glass	Mineral
is	O
often	O
extended	O
to	O
all	O
amorphous	Mineral
solids	Mineral
(	O
and	O
melts	O
that	O
easily	O	
form	O
amorphous	O
solids	O
)	O
,	O
including	O
plastics	O
,	O
resins	O
,	O
or	O
other	O
silica-free	O
amorphous	O
solids	O
.	O
Hematite	Mineral
,	O
also	O
spelled	O
as	O
hæmatite	Mineral
,	O
is	O
the	O
mineral	O
form	O
of	O
Iron(III)	Mineral 
oxide	Mineral
(	O
Fe2O3	Mineral
)	O
,	O
one	O
of	O
several	O
iron	Mineral
oxides	Mineral
.	O
Hematite	Mineral
crystallizes	O
in	O
the	O
rhombohedral	O
system	O
,	O
and	O
it	O
has	O
the	O
same	O
crystal	O
structure	O
as	O
ilmenite	O
and	O
as	O
corundum	O
.	O
Hematite	Mineral
is	O
a	O
mineral	O
,	O
colored	O
black	O
to	O	
steel	O
or	O
silver-gray	O
,	O
brown	O
to	O
reddish	O
brown	O
,	O
or	O
red	O
.	O
It	O
is	O
mined	O
oxides	Mineral
and	O
a	O
member	O
of	O
the	O
spinel	O
group	O
.	O
Malic	Mineral
A	O
mineraloid	Mineral
is	O
a	O
mineral-like	O
substance	O
that	O
does	O
not	O
demonstrate	O
crystallinity	O
.	O
Mineraloids	Mineral
possess	O
chemical	O
compositions	O
that	O
vary	O
beyond	O
the	O
generally	O
accepted	O
ranges	O
for	O
specific	O
minerals	Mineral
.	O
The	O
majority	O
of	O
minerals	Mineral
are	O
non-metallic	Mineral
,	O
i.e.	O
,	O
they	O
are	O
not	O
elemental	O
minerals	Mineral
which	O
are	O
of	O
metal	Mineral
elements	O
or	O
alloys	Mineral
of	O
metals	Mineral
.	O
Olvine	Mineral
Quartz	Mineral
Pyrolite	Mineral
Pyroxine	Mineral
Wave	PhysicalState
Speed	PhysicalState
Neutral	PhysicalState
Ionized	PhysicalState
NonThermal	PhysicalState
Thermal	PhysicalState
Plasma	PhysicalState
Ferroelectric	PhysicalState
Burned	PhysicalState
Radiative	PhysicalState
Peraelectric	PhysicalState
QuasiNeutral	PhysicalState
Hypergravity	PhysicalState
Hypogravity	PhysicalState
Fluid	PhysicalState
Gas	PhysicalState
Solid	PhysicalState
Frozen	PhysicalState
Gaseous	PhysicalState
Condensed	PhysicalState
Isobaric	PhysicalState
Isochoric	PhysicalState
Isohalic	PhysicalState
Isostatic	PhysicalState
Isostacy	PhysicalState
FreeOscillation	PhysicalState
A	O
small	O
spherical	O
particle	O
of	O
any	O
liquid	PhysicalState
;	O
in	O
meteorology	O
,	O
particularly	O
a	O
water	O
droplet	PhysicalState
Suspended	PhysicalState
Diluted	PhysicalState
Dissolved	PhysicalState
Film	PhysicalState
Floating	PhysicalState
Fragment	PhysicalState
Pellicular	PhysicalState
Pillow	PhysicalState
Particle	PhysicalState
Bubble	PhysicalState
Light	PhysicalState
Occasional	PhysicalState
Intermittent	PhysicalState
Heavy	PhysicalState
Scattered	PhysicalState
Severe	PhysicalState
Deiced	PhysicalState
Dry	PhysicalState
Moist	PhysicalState
Humid	PhysicalState
Wet	PhysicalState
Hydrophobic	PhysicalState
Impermeable	PhysicalState
Permeable	PhysicalState
Porous	PhysicalState
Hydrophilic	PhysicalState
Hygroscopic	PhysicalState
Hydrolyzable	PhysicalState
Constructive	PhysicalState
Destructive	PhysicalState
HighFrequency	PhysicalState
LowFrequency	PhysicalState
Filtered	PhysicalState
Eddy	PhysicalState
Zonal	PhysicalState
Subsonic	PhysicalState
Supersonic	PhysicalState
Quiescent	PhysicalState
Slow	PhysicalState
Gentle	PhysicalState
Calm	PhysicalState
Gale	PhysicalState
Fast	PhysicalState
Rapid	PhysicalState
Chemical	Matter
substance	Matter
in	O
chemistry	Matter
are	O
material	Matter
objects	Matter
that	O
can	O
undergo	O
various	O
transformations	Matter
related	O
to	O
artificial	O
or	O
natural	O
phenomena	Matter 
[Wikipedia]	O
In	O
chemistry	Matter	
a	O
mixture	Matter
is	O
when	O
two	O
or	O
more	O
different	O
substances	Matter
are	O
mixed	O
together	O
but	O
not	O
combined	O
chemically	O
The	O
molecules	Matter
of	O
two	O
or	O
more	O
different	O
substances	Matter
are	O
mixed	O
in	O
the	O
form	O
of	O
solutions	Matter
suspensions	Matter
and	O
colloids	Matter
chemistry	Matter
solution	Matter
homogeneous	Matter
mixture	Matter
composed	O
more	O
substances	Matter
In	O
such	O
a	O
mixture	Matter
a	O
solute	Matter
dissolved	O
in	O
another	O
substance	Matter
known	O
as	O
a	O
solvent	O
All	O
solutions	Matter
are	O
characterized	O
by	O
interactions	O
between	O
the	O
solvent	Matter
phase	O
and	O
solute	Matter
molecules	Matter
or	O
ions	Matter
that	O
result	O
in	O
a	O
net	O
decrease	O
in	O
free	O
energy	Matter
Inorganic Matter
Medium	Matter
Solid	Matter
Trace	Matter
Gas	Matter
State Matter
Neutral	Matter
Suspended	Matter
Dissolved	Matter
Air	Matter
Greenhouse	Matter
Process	PhysicalProcess
Pressure	PhysicalProcess
Force	PhysicalProcess
Tension	PhysicalProcess
Abrasion	PhysicalProcess
Agitation	PhysicalProcess
Clogging	PhysicalProcess
Congealing	PhysicalProcess
Consolidation	PhysicalProcess
Falling	PhysicalProcess
Flocculation	PhysicalProcess
Flushing	PhysicalProcess
Orientation	PhysicalProcess
Quenching	PhysicalProcess	
Sheltering	PhysicalProcess
Smashing	PhysicalProcess
Washing	PhysicalProcess	
Insulation	PhysicalProcess
Conduction	PhysicalProcess
Transport	O
of	O
energy	O
charge	O
solely	O
as	O
a	O
consequence	O
of	O
random	O
motions	PhysicalProcess
of	O
individual	O
molecules	O
ions	O
electrons	O
not	O
moving	O
together	O
in	O
coherent	O
groups	O
Radiation	PhysicalProcess
Radiative	PhysicalProcess
Transfer	PhysicalProcess
Ionizing	PhysicalProcess
NonIonizing	PhysicalProcess
Radiative	PhysicalProcess
Transfer	PhysicalProcess
Contracting	PhysicalProcess
Expansion	PhysicalProcess
Compression	PhysicalProcess
Decompression	PhysicalProcess
Rareification	PhysicalProcess
Shorten	PhysicalProcess
Shrink	PhysicalProcess
Expansion	PhysicalProcess
Expanding	PhysicalProcess
Nucleosynthesis	PhysicalProcess
Genesis	PhysicalProcess
Heating	PhysicalProcess
Thermal	PhysicalProcess
Burning	PhysicalProcess
Cooling	PhysicalProcess
Quenching	PhysicalProcess
Gravity	PhysicalProcess	
Gravitational	PhysicalProcess	
Motion	PhysicalProcess
Deflection	PhysicalProcess
Translation	PhysicalProcess
Meandering	PhysicalProcess
Friction	PhysicalProcess
Viscous	PhysicalProcess
Collision	PhysicalProcess
Trapping	PhysicalProcess
Bombardment	PhysicalProcess
Funnelling	PhysicalProcess
Migration	PhysicalProcess
Sinking	PhysicalProcess
Sputtering	PhysicalProcess
Rotation	PhysicalProcess
Rotation	PhysicalProcess
Differential	PhysicalProcess
Coriolis	PhysicalProcess
Effect	PhysicalProcess
Revolution	PhysicalProcess
Centrifugal	PhysicalProcess
Centripetal	PhysicalProcess
Precession	PhysicalProcess
Orbit	PhysicalProcess
Path	PhysicalProcess
Gyro	PhysicalProcess
Orbital	PhysicalProcess
hydrodynamics	PhysicalProcess
motion	PhysicalProcess
fluid	O
particle	O
induced	O
passage	O
progressive	O
gravity	PhysicalProcess
wave	O
Dynamo	PhysicalProcess
Electromagnetic	PhysicalProcess
Induction	PhysicalProcess
Current	PhysicalProcess
Electric	PhysicalProcess
Magnetism	PhysicalProcess
